Caption,Description,Identifying Number,Install Date,Install Location,Install State,Name,Package Cache,SKU Number,Vendor,Version
Microsoft SQL Server 2008 Database Engine Services,Microsoft SQL Server 2008 Database Engine Services,{58721EC3-8D4E-4B79-BC51-1054E2DDCD10},,,5,Microsoft SQL Server 2008 Database Engine Services,C:\Windows\Installer\e17f1d.msi,,Microsoft Corporation,10.0.1600.22
Acrobat.com,Acrobat.com,{77DCDCE3-2DED-62F3-8154-05E745472D07},,,5,Acrobat.com,C:\Windows\Installer\16687.msi,,Adobe Systems Incorporated,0.0.0
Microsoft SQL Server 2008 Management Studio,Microsoft SQL Server 2008 Management Studio,{FA9C3624-C693-4423-8A8B-2BC2B9F607AB},,,5,Microsoft SQL Server 2008 Management Studio,C:\Windows\Installer\e1805c.msi,,Microsoft Corporation,10.0.1600.22
Microsoft Visual Studio 2008 Professional Edition - ENU,Microsoft Visual Studio 2008 Professional Edition - ENU,{D7DAD1E4-45F4-3B2B-899A-EA728167EC4F},,,5,Microsoft Visual Studio 2008 Professional Edition - ENU,C:\Windows\Installer\a243b.msi,,Microsoft Corporation,9.0.30729
Java 2 SDK, SE v1.4.2_13,Java 2 SDK, SE v1.4.2_13,{35A3A4F4-B792-11D6-A78A-00B0D0142130},,,5,Java 2 SDK, SE v1.4.2_13,C:\Windows\Installer\5db224.msi,,Sun Microsystems, Inc.,1.4.2_13
Microsoft .NET Framework 4 Client Profile,Microsoft .NET Framework 4 Client Profile,{3C3901C5-3455-3E0A-A214-0B093A5070A6},,,5,Microsoft .NET Framework 4 Client Profile,C:\Windows\Installer\127a27f.msi,,Microsoft Corporation,4.0.30319
Microsoft SQL Server 2008 Common Files,Microsoft SQL Server 2008 Common Files,{196E77C5-F524-4B50-BD1A-2C21EEE9B8F7},,,5,Microsoft SQL Server 2008 Common Files,C:\Windows\Installer\e17ec8.msi,,Microsoft Corporation,10.0.1600.22
VERITAS Enterprise Vault User Extensions 6.0,VERITAS Enterprise Vault User Extensions 6.0,{F4120546-F24C-47C1-A8C3-5FC9A02C56E9},,,5,VERITAS Enterprise Vault User Extensions 6.0,C:\Windows\Installer\1669f.msi,,VERITAS Software Corporation,6.0
Windows Automated Installation Kit,Windows Automated Installation Kit,{31E8F586-4EF7-4500-844D-BA8756474FF1},,,5,Windows Automated Installation Kit,C:\Windows\Installer\f90018.msi,,Microsoft Corporation,2.0.0.0
,,{AC76BA86-1033-0000-7760-100000000004},,,1,,,,,
Adobe Acrobat 9 Pro Extended - English, Français, Deutsch,Adobe Acrobat 9 Pro Extended - English, Français, Deutsch,{AC76BA86-1033-F400-7761-000000000004},,C:\Program Files\Adobe\Acrobat 9.0\,5,Adobe Acrobat 9 Pro Extended - English, Français, Deutsch,C:\Windows\Installer\26232.msi,,Adobe Systems,9.0.0
Adobe Reader 9,Adobe Reader 9,{AC76BA86-7AD7-1033-7B44-A90000000001},,C:\Program Files\Adobe\Reader 9.0\Reader\,5,Adobe Reader 9,C:\Windows\Installer\1667d.msi,,Adobe Systems Incorporated,9.0.0
Microsoft SQL Server 2008 Setup Support Files (English),Microsoft SQL Server 2008 Setup Support Files (English),{9D6D76A6-4328-49E8-97A7-531A74841DA5},,,5,Microsoft SQL Server 2008 Setup Support Files (English),C:\Windows\Installer\e17ebe.msi,,Microsoft Corporation,10.0.1600.22
Microsoft SQL Server 2008 Database Engine Shared,Microsoft SQL Server 2008 Database Engine Shared,{F3494AB6-6900-41C6-AF57-823626827ED8},,,5,Microsoft SQL Server 2008 Database Engine Shared,C:\Windows\Installer\e17ed2.msi,,Microsoft Corporation,10.0.1600.22
Microsoft Windows SDK for Visual Studio 2008 SDK Reference Assemblies and IntelliSense,Microsoft Windows SDK for Visual Studio 2008 SDK Reference Assemblies and IntelliSense,{64c5b887-b5ee-42b8-8596-78905a6b5f1f},,,5,Microsoft Windows SDK for Visual Studio 2008 SDK Reference Assemblies and IntelliSense,C:\Windows\Installer\a24e2.msi,,Microsoft Corporation,6.1.5288.17011
tools-winPre2k,tools-winPre2k,{AE0F62A7-A1A2-407F-9F4C-48939BD9AD8D},,,5,tools-winPre2k,C:\Windows\Installer\73c6eb.msi,,VMware, Inc.,8.1.3.9911
tools-netware,tools-netware,{197597A7-AD33-4898-9D8E-73066818B464},,,5,tools-netware,C:\Windows\Installer\73c6dc.msi,,VMware, Inc.,8.1.3.9911
